Event,Performance,Athlete,Nationality,Date,Meeting,Location City,Location Country,Gender,Setting,Official,Category
50 y,0 days 00:00:05,Mel Pender,USA,1972-03-04,,Orlando,USA,Male,Indoor,False,Sprint
50 y,0 days 00:00:05,Mel Pender,USA,1972-03-18,,Hamilton,CAN,Male,Indoor,False,Sprint
50 y,0 days 00:00:05,Herb Washington,USA,1973-02-04,,Toronto,CAN,Male,Indoor,False,Sprint
50 y,0 days 00:00:05,Manfred Ommer,FRG,1975-03-14,,Leverkusen,FRG,Male,Indoor,False,Sprint
60 y,0 days 00:00:05.800000,Herb Washington,USA,1972-02-12,,East Lansing,USA,Male,Indoor,False,Sprint
60 y,0 days 00:00:05.800000,Mel Pender,USA,1973-05-25,,Salt Lake City,USA,Male,Indoor,False,Sprint
55 m,0 days 00:00:05.990000,Obadele Thompson,BAR,1997-02-22,,Colorado Springs,USA,Male,Indoor,False,Sprint
70 y,0 days 00:00:06.800000,Mel Pender,USA,1965-02-27,Mason-Dixon Games,Louisville,USA,Male,Indoor,False,Sprint
70 y,0 days 00:00:06.800000,Craig Wallace,USA,1965-02-27,Mason-Dixon Games,Louisville,USA,Male,Indoor,False,Sprint
70 y,0 days 00:00:06.800000,Larry Highbaugh,USA,1970-02-14,Mason-Dixon Games,Louisville,USA,Male,Indoor,False,Sprint
70 y,0 days 00:00:06.800000,Jim Green,USA,1970-02-14,Mason-Dixon Games,Louisville,USA,Male,Indoor,False,Sprint
70 y,0 days 00:00:06.800000,Mel Pender,USA,1971-02-13,Mason-Dixon Games,Louisville,USA,Male,Indoor,False,Sprint
70 y,0 days 00:00:06.800000,Jean-Louis Ravelomanantsoa,MAD,1973-06-01,Mason-Dixon Games,Louisville,USA,Male,Indoor,False,Sprint
70 y,0 days 00:00:06.800000,Warren Edmondson,USA,1973-06-01,Mason-Dixon Games,Louisville,USA,Male,Indoor,False,Sprint
70 y,0 days 00:00:06.800000,Harrington Jackson,USA,1973-06-01,Mason-Dixon Games,Louisville,USA,Male,Indoor,False,Sprint
100 m,0 days 00:00:09.980000,Usain Bolt,JAM,2014-08-23,Kamila Skolimowska Memorial,Warsaw,POL,Male,Indoor,False,Sprint
150 m,0 days 00:00:14.990000,Donovan Bailey,CAN,1997-06-01,Bailey–Johnson 150-metre race,Toronto,CAN,Male,Indoor,False,Sprint
300 y,0 days 00:00:29.270000,Terron Wright,USA,1981-02-07,,Bloomington,USA,Male,Indoor,False,Sprint
300 m,0 days 00:00:31.560000,Steven Gardiner,BAH,2022-01-28,South Carolina Invitational,Columbia,USA,Male,Indoor,False,Sprint
500 y,0 days 00:00:53.900000,Larry James,USA,1973-05-25,ITA meet,Salt Lake City,USA,Male,Indoor,False,Sprint
500 m,0 days 00:00:59.830000,Abdalelah Haroun,QAT,2016-02-17,Globen Galan,Stockholm,SWE,Male,Indoor,False,Sprint
600 y,0 days 00:01:06.930000,Moitalel Naadokila,KEN,2020-02-15,,Lubbock,USA,Male,Indoor,False,Middle Distance
600 y,0 days 00:01:06.680000,Jonathan Jones,BAR,2022-02-26,Big 12 Championships,Ames,USA,Male,Indoor,False,Middle Distance
600 m,0 days 00:01:13.770000,Donavan Brazier,USA,2019-02-24,USA Indoor Championships,Staten Island,USA,Male,Indoor,False,Sprint
1000 y,0 days 00:02:04.390000,Johnny Gray,USA,1986-02-23,,San Diego,USA,Male,Indoor,False,Middle Distance
1600 m,0 days 00:03:45.690000,Yomif Kejelcha,ETH,2019-03-03,Bruce Lehane Invitational,Boston,USA,Male,Indoor,False,Middle Distance
2000 m,0 days 00:04:49.990000,Kenenisa Bekele,ETH,2007-02-17,Aviva Indoor Grand Prix,Birmingham,GBR,Male,Indoor,False,Middle Distance
3200 m,0 days 00:07:57.890000,Josh Kerr,GBR,2024-02-11,Millrose Games,New York City,USA,Male,Indoor,False,Long Distance
Two miles,0 days 00:08:00.670000,Josh Kerr,GBR,2024-02-11,Millrose Games,New York City,USA,Male,Indoor,False,Long Distance
"10,000 m",0 days 00:27:50.290000,Mark Bett,KEN,2002-02-10,Indoor Flanders Meeting,Ghent,BEL,Male,Indoor,False,Long Distance
Marathon,0 days 02:19:01,Malcolm Richards,USA,2018-03-17,The Armory Indoor Marathon,New York City,USA,Male,Indoor,False,Long Distance
2000 m steeplechase,0 days 00:05:13.770000,Paul Kipsiele Koech,KEN,2011-02-13,Indoor Flanders Meeting,Ghent,BEL,Male,Indoor,False,Middle Distance
3000 m steeplechase,0 days 00:08:17.460000,Aleksandr Zagoruyko,URS,1982-02-21,,Moscow,URS,Male,Indoor,False,Long Distance
50 y hurdles,0 days 00:00:05.880000,Greg Foster,USA,1986-01-17,,Los Angeles,USA,Male,Indoor,False,Hurdles
60 y hurdles,0 days 00:00:06.820000,Renaldo Nehemiah,USA,1982-01-30,,Dallas,USA,Male,Indoor,False,Hurdles
55 m hurdles,0 days 00:00:06.890000,Renaldo Nehemiah,USA,1979-01-20,,New York City,USA,Male,Indoor,False,Hurdles
110 m hurdles,0 days 00:00:13.340000,Allen Johnson,USA,1995-02-14,,Moscow,RUS,Male,Indoor,False,Hurdles
300 m hurdles,0 days 00:00:34.260000,Karsten Warholm,NOR,2018-02-10,Avoimet Pirkanmaan,Tampere,FIN,Male,Indoor,False,Hurdles
400 m hurdles,0 days 00:00:48.780000,Félix Sánchez,DOM,2012-02-18,Meeting National Val-de-Reuil,Val-de-Reuil,FRA,Male,Indoor,False,Hurdles
3000 m walk,0 days 00:10:30.280000,Tom Bosworth,GBR,2018-02-25,Glasgow Grand Prix,Glasgow,GBR,Male,Indoor,False,Walking
Two miles walk,0 days 00:11:54.500000,Valdas Kazlauskas,URS,1990-02-24,,Kaunas,URS,Male,Indoor,False,Walking
"10,000 m walk",0 days 00:38:23.730000,Wang Zhen,CHN,2015-02-08,,Genoa,ITA,Male,Indoor,False,Walking
"15,000 m walk",0 days 01:00:03.900000,Valdas Kazlauskas,URS,1987-01-24,,Kaunas,URS,Male,Indoor,False,Walking
"20,000 m walk",0 days 01:20:40,Ronald Weigel,GDR,1980-01-27,,Senftenberg,GDR,Male,Indoor,False,Walking
Sprint medley relay,0 days 00:03:15.100000,"Mark Everett, James Trapp, Kevin Little, Butch Reynolds",USA,1993-03-14,World Indoor Championships,Toronto,CAN,Male,Indoor,False,Relay
Distance medley relay,0 days 00:09:19.420000,"Cole Hocker, Luis Peralta, Charlie Hunter, Cooper Teare","USA, DOM, AUS, USA",2021-01-29,Razorback Invitational,Fayetteville,USA,Male,Indoor,False,Relay
4 × mile relay,0 days 00:16:03.680000,"David Ribich (4:08.2), Henry Wynne (4:01.4), Brannon Kidder (3:56.8), Izaic Yorks (3:57.2)",USA,2019-01-26,Dr. Sander Columbia Challenge,New York City,USA,Male,Indoor,False,Relay
4 × 60y shuttle hurdle relay,0 days 00:00:27.600000,"T.G. Parker, Joe Kahiapo, Ahart Powers, Dick McIntosh",USA,1975-02-21,,Colorado Springs,USA,Male,Indoor,False,Hurdles
50 y,0 days 00:00:05.740000,Evelyn Ashford,USA,1983-02-18,,San Diego,USA,Female,Indoor,False,Sprint
60 y,0 days 00:00:06.540000,Evelyn Ashford,USA,1982-02-07,USA Indoor Track and Field Championships,New York City,USA,Female,Indoor,False,Sprint
60 y,0 days 00:00:06.540000,Jeanette Bolden,USA,1986-02-21,,Los Angeles,USA,Female,Indoor,False,Sprint
55 m,0 days 00:00:06.560000,Gwen Torrence,USA,1987-03-14,NCAA,Oklahoma City,USA,Female,Indoor,False,Sprint
100 y,0 days 00:00:10.150000,Heike Drechsler,GDR,1987-02-08,,Senftenberg,GDR,Female,Indoor,False,Sprint
100 m,0 days 00:00:11.150000,Marita Koch,GDR,1980-01-12,,East Berlin,GDR,Female,Indoor,False,Sprint
300 y,0 days 00:00:32.630000,Merlene Ottey,JAM,1982-03-13,,Cedar Falls,USA,Female,Indoor,False,Sprint
300 m,0 days 00:00:35.450000,Irina Privalova,RUS,1993-01-17,,Moscow,RUS,Female,Indoor,False,Sprint
300 m,0 days 00:00:35.450000,Shaunae Miller-Uibo,BAH,2018-02-03,Millrose Games,New York City,USA,Female,Indoor,False,Sprint
500 y,0 days 00:01:00.610000,Jearl Miles-Clark,USA,2000-02-19,,Pocatello,USA,Female,Indoor,False,Sprint
500 m,0 days 00:01:05.630000,Femke Bol,NED,2023-02-04,New Balance Indoor Grand Prix,Boston,USA,Female,Indoor,False,Sprint
600 y,0 days 00:01:16.760000,Michaela Rose,USA,2024-01-20,Corky Classic,Lubbock,USA,Female,Indoor,False,Middle Distance
600 m,0 days 00:01:23.410000,Keely Hodgkinson,GBR,2023-01-28,Manchester World Indoor Tour,Manchester,GBR,Female,Indoor,False,Sprint
1000 y,0 days 00:02:23.500000,Joetta Clark,USA,1986-03-09,,Gainesville,USA,Female,Indoor,False,Middle Distance
1600 m,0 days 00:04:11.840000,Genzebe Dibaba,ETH,2016-02-17,Globen Galan,Stockholm,SWE,Female,Indoor,False,Middle Distance
2000 m,0 days 00:05:23.750000,Genzebe Dibaba,ETH,2017-02-07,Míting Internacional de Catalunya,Sabadell,ESP,Female,Indoor,False,Middle Distance
3200 m,0 days 00:08:57.340000,Genzebe Dibaba,ETH,2014-02-15,Aviva Indoor Grand Prix,Birmingham,GBR,Female,Indoor,False,Long Distance
Two miles,0 days 00:09:00.480000,Genzebe Dibaba,ETH,2014-02-15,Aviva Indoor Grand Prix,Birmingham,GBR,Female,Indoor,False,Long Distance
"10,000 m",0 days 00:32:44.970000,Olga Michurina,RUS,1995-12-23,,Saint Petersburg,RUS,Female,Indoor,False,Long Distance
Marathon,0 days 02:40:55,Lindsey Scherf,USA,2018-03-17,The Armory Indoor Marathon,New York City,USA,Female,Indoor,False,Long Distance
55 m hurdles,0 days 00:00:07.300000,Tiffany Lott-Hogan,USA,1997-02-22,,Colorado Springs,USA,Female,Indoor,False,Hurdles
100 m hurdles,0 days 00:00:12.640000,Ludmila Engquist,SWE,1997-02-10,,Tampere,FIN,Female,Indoor,False,Hurdles
300 m hurdles,0 days 00:00:40.090000,Stine Tomb,NOR,2011-02-05,Finland-Sweden-Norway Indoor Match,Tampere,FIN,Female,Indoor,False,Hurdles
400 m hurdles,0 days 00:00:56.410000,Sheena Tosta,USA,2011-02-12,Meeting National,Val-de-Reuil,FRA,Female,Indoor,False,Hurdles
2000 m steeplechase,0 days 00:05:47.790000,Maruša Mišmaš,SLO,2020-02-19,Meeting Hauts de France Pas de Calais,Liévin,FRA,Female,Indoor,False,Middle Distance
3000 m steeplechase,0 days 00:09:07,Tatyana Petrova,RUS,2006-02-17,,Moscow,RUS,Female,Indoor,False,Long Distance
3000 m steeplechase,0 days 00:09:54.200000,Marcela Lustigova,CZE,2010-02-11,Botnia Games,Korsholm,FIN,Female,Indoor,False,Long Distance
Mile walk,0 days 00:06:16.720000,Sada Eidikytė,URS,1990-02-24,,Kaunas,URS,Female,Indoor,False,Walking
Two miles walk,0 days 00:13:11.880000,Ileana Salvador,ITA,1990-02-14,,Genoa,ITA,Female,Indoor,False,Walking
5000 m walk,0 days 00:20:10.300000,Vera Sokolova,RUS,2010-12-30,Mordovian Indoor Championships,Saransk,RUS,Female,Indoor,False,Walking
"10,000 m walk",0 days 00:43:54.630000,Yelena Ginko,BLR,2008-02-22,Belarusian Championships,Mogilev,BLR,Female,Indoor,False,Walking
4 × 100 m relay,0 days 00:00:44.390000,"Anne-Kathrin Elbe, Anne Möllinger, Cathleen Tschirch, Marion Wagner",GER,2010-01-31,BW-Bank Meeting,Karlsruhe,GER,Female,Indoor,False,Relay
Sprint medley relay,0 days 00:03:45.900000,"Joetta Clark Diggs, Wendy Vereen, Kim Batten, Jearl Miles Clark",USA,1993-03-14,World Indoor Championships,Toronto,CAN,Female,Indoor,False,Relay
Distance medley relay,0 days 00:10:33.850000,"Heather McLean, Kendall Ellis, Roisin Willis, Elle Purrier St. Pierre",USA,2022-04-15,,Boston,USA,Female,Indoor,False,Relay
