Event,Performance,Athlete,Nationality,Date,Meeting,Location City,Location Country,Gender,Setting,Official,Category
Mile sh,3:47.01,Yomif Kejelcha,ETH,2019-03-03,Bruce Lehane Invitational,Boston,USA,Male,Indoor,True,Middle Distance
3000 m sh,7:23.81,Lamecha Girma,ETH,2023-02-15,Meeting Hauts-de-France Pas-de-Calais,Liévin,FRA,Male,Indoor,True,Long Distance
5000 m sh,12:49.60,Kenenisa Bekele,ETH,2004-02-20,Aviva Indoor Grand Prix,Birmingham,GBR,Male,Indoor,True,Long Distance
50 m hurdles,6.25,Mark McKoy,CAN,1986-03-05,,Kobe,JPN,Male,Indoor,True,Hurdles
60 m hurdles,7.29,Grant Holloway,USA,2021-02-24,Villa de Madrid,Madrid,ESP,Male,Indoor,True,Hurdles
60 m hurdles,7.29,Grant Holloway,USA,2022-03-20,World Championships,Belgrade,SRB,Male,Indoor,True,Hurdles
60 m hurdles,7.27,Grant Holloway,USA,2024-02-16,USA Championships,Albuquerque,USA,Male,Indoor,True,Hurdles
High jump,2.43 m,Javier Sotomayor,CUB,1989-03-04,World Championships,Budapest,HUN,Male,Indoor,True,Jumping
Pole vault,6.22 m,Armand Duplantis,SWE,2023-02-25,All Star Perche,Clermont-Ferrand,FRA,Male,Indoor,True,Jumping
Long jump,8.79 m,Carl Lewis,USA,1984-01-27,Millrose Games,New York City,USA,Male,Indoor,True,Jumping
Triple jump,18.07 m,Hugues Fabrice Zango,BUR,2021-01-16,,Aubière,FRA,Male,Indoor,True,Jumping
Shot put,22.82 m,Ryan Crouser,USA,2021-01-24,American Track League,Fayetteville,USA,Male,Indoor,True,Throwing
Heptathlon sh,6645 pts,Ashton Eaton,USA,2012-03-10,World Championships,Istanbul,TUR,Male,Indoor,True,Multisport Events
5000 m walk sh,18:07.08,Mikhail Shchennikov,RUS,1995-02-14,Russian Winter Meeting,Moscow,RUS,Male,Indoor,True,Walking
4 × 200 m relay sh,1:22.11,"Linford Christie, Darren Braithwaite, Ade Mafe, John Regis",GBR,1991-03-03,,Glasgow,GBR,Male,Indoor,True,Relay
4 × 400 m relay sh,3:01.51,"Zach Shinnick, Rai Benjamin, Ricky Morgan Jr., Michael Norman",USA,2019-02-09,Clemson's Tiger Paw Invitational,Clemson,USA,Male,Indoor,True,Relay
4 × 400 m relay sh,3:00.77,"Zach Shinnick, Rai Benjamin, Ricky Morgan Jr.Michael Norman","USA, ATG, USA, USA",2018-03-10,NCAA Division I Championships,College Station,USA,Male,Indoor,True,Relay
4 × 400 m relay sh,3:01.39,"Ilolo Izu, Robert Grant, Devin Dixon, Mylik Kerley",USA,2018-03-10,NCAA Division I Championships,College Station,USA,Male,Indoor,True,Relay
4 × 400 m relay sh,3:01.43,"Kunle Fasasi, Grant Holloway, Chantz Sawyers, Benjamin Lobo Vedel","NGR, USA, JAM, DEN",2018-03-10,NCAA Division I Championships,College Station,USA,Male,Indoor,True,Relay
4 × 800 m relay sh,7:11.30,"Joe McAsey, Kyle Merber, Chris Giesting, Jesse Garn",USA,2018-02-25,BU Last Chance Meet,Boston,USA,Male,Indoor,True,Relay
50 m,5.96,Irina Privalova,RUS,1995-02-09,,Madrid,ESP,Female,Indoor,True,Sprint
60 m,6.92,Irina Privalova,RUS,1993-02-11,,Madrid,ESP,Female,Indoor,True,Sprint
60 m,6.92,Irina Privalova,RUS,1995-02-09,,Madrid,ESP,Female,Indoor,True,Sprint
200 m sh,21.87,Merlene Ottey,JAM,1993-02-13,Meeting Pas de Calais,Liévin,FRA,Female,Indoor,True,Sprint
400 m sh,49.26,Femke Bol,NED,2023-02-19,Dutch Championships,Apeldoorn,NED,Female,Indoor,True,Sprint
400 m sh,49.24,Femke Bol,NED,2024-02-18,Dutch Championships,Apeldoorn,NED,Female,Indoor,True,Sprint
400 m sh,49.17,Femke Bol,NED,2024-03-02,World Championships,Glasgow,GBR,Female,Indoor,True,Sprint
800 m sh,1:55.82,Jolanda Čeplak,SLO,2002-03-03,European Championships,Vienna,AUT,Female,Indoor,True,Middle Distance
1000 m sh,2:30.94,Maria Mutola,MOZ,1999-02-25,GE Galan,Stockholm,SWE,Female,Indoor,True,Middle Distance
1500 m sh,3:53.09,Gudaf Tsegay,ETH,2021-02-09,Meeting Hauts-de-France Pas-de-Calais,Liévin,FRA,Female,Indoor,True,Middle Distance
Mile sh,4:13.31,Genzebe Dibaba,ETH,2016-02-17,Globen Galan,Stockholm,SWE,Female,Indoor,True,Middle Distance
3000 m sh,8:16.60,Genzebe Dibaba,ETH,2014-02-06,XL Galan,Stockholm,SWE,Female,Indoor,True,Long Distance
5000 m sh,14:18.86,Genzebe Dibaba,ETH,2015-02-19,XL Galan,Stockholm,SWE,Female,Indoor,True,Long Distance
50 m hurdles,6.58,Cornelia Oschkenat,GDR,1988-02-20,,East Berlin,GDR,Female,Indoor,True,Hurdles
60 m hurdles,7.68,Susanna Kallur,SWE,2008-02-10,BW-Bank Meeting,Karlsruhe,GER,Female,Indoor,True,Hurdles
60 m hurdles,7.67,Devynne Charlton,BAH,2024-02-11,Millrose Games,New York City,USA,Female,Indoor,True,Hurdles
60 m hurdles,7.67,Tia Jones,USA,2024-02-16,USA Championships,Albuquerque,USA,Female,Indoor,True,Hurdles
60 m hurdles,7.65,Devynne Charlton,BAH,2024-03-03,World Championships,Glasgow,USA,Female,Indoor,True,Hurdles
60 m hurdles,7.68,Lyudmila Narozhilenko,RUS,1993-03-02,,San Sebastián,ESP,Female,Indoor,True,Hurdles
60 m hurdles,7.66,Lyudmila Narozhilenko,RUS,1993-03-04,,Seville,ESP,Female,Indoor,True,Hurdles
60 m hurdles,7.63,Lyudmila Narozhilenko,RUS,1993-03-04,,Seville,ESP,Female,Indoor,True,Hurdles
High jump,2.08 m,Kajsa Bergqvist,SWE,2006-02-04,Hochsprung mit Musik,Arnstadt,GER,Female,Indoor,True,Jumping
Pole vault,5.03 m,Jenn Suhr,USA,2016-01-30,Golden Eagle Multi and Invitational,Brockport,USA,Female,Indoor,True,Jumping
Pole vault,5.02 m,Jenn Suhr,USA,2013-03-02,USA Championships,Albuquerque,USA,Female,Indoor,True,Jumping
Long jump,7.37 m,Heike Drechsler,GDR,1988-02-13,,Vienna,AUT,Female,Indoor,True,Jumping
Triple jump,15.74 m,Yulimar Rojas,VEN,2022-03-20,World Championships,Belgrade,SRB,Female,Indoor,True,Jumping
Shot put,22.50 m,Helena Fibingerová,TCH,1977-02-19,,Jablonec,TCH,Female,Indoor,True,Throwing
Pentathlon sh,5055 pts,Nafi Thiam,BEL,2023-03-03,European Championships,Istanbul,TUR,Female,Indoor,True,Multisport Events
3000 m walk sh,11:40.33,Claudia Iovan,ROU,1999-01-30,,Bucharest,ROU,Female,Indoor,True,Walking
3000 m walk sh,11:35.34,Gillian O'Sullivan,IRL,2003-02-15,,Belfast,GBR,Female,Indoor,True,Walking
4 × 200 m relay sh,1:32.41,"Yekaterina Kondratyeva, Irina Khabarova, Yuliya Pechonkina, Yuliya Gushchina",RUS,2005-01-29,Aviva International Match,Glasgow,GBR,Female,Indoor,True,Relay
4 × 400 m relay sh,3:23.37,"Olesya Krasnomovets, Olga Zaytseva, Olga Kotlyarova, Yuliya Gushchina",RUS,2006-01-28,Aviva International Match,Glasgow,GBR,Female,Indoor,True,Relay
4 × 400 m relay sh,3:21.75,"Amber Anning, Joanne Reid, Rosey Effiong, Britton Wilson","GBR, JAM, USA, USA",2023-03-11,NCAA Division I Championships,Albuquerque,USA,Female,Indoor,True,Relay
4 × 800 m relay sh,8:05.89,"Chrishuna Williams, Raevyn Rogers, Charlene Lipsey, Ajeé Wilson",USA,2018-02-03,Millrose Games,New York City,USA,Female,Indoor,True,Relay
50 m,5.40,Bruny Surin,CAN,1999-08-22,World Championships,Seville,ESP,Male,Outdoor,False,Sprint
60 m,6.25,Bruny Surin,CAN,1999-08-22,World Championships,Seville,ESP,Male,Outdoor,False,Sprint
60 m,6.31,Usain Bolt,JAM,2009-08-16,World Championships,Berlin,GER,Male,Outdoor,False,Sprint
60 m,6.29,Su Bingtian,CHN,2021-08-01,Olympic Games,Tokyo,JPN,Male,Outdoor,False,Sprint
100 y,9.00,Ivory Crockett,USA,1974-05-11,,Knoxville,USA,Male,Outdoor,False,Sprint
100 y,9.00,Houston McTear,USA,1975-05-09,,Winter Park,USA,Male,Outdoor,False,Sprint
100 y,9.07,Asafa Powell,JAM,2010-05-27,Golden Spike Ostrava,Ostrava,CZE,Male,Outdoor,False,Sprint
150 m,14.44,Usain Bolt,JAM,2009-08-20,World Championships,Berlin,GER,Male,Outdoor,False,Sprint
150 m straight,14.35,Usain Bolt,JAM,2009-05-17,Manchester City Games,Manchester,GBR,Male,Outdoor,False,Sprint
200 m straight,19.41,Tyson Gay,USA,2010-05-16,Manchester City Games,Manchester,GBR,Male,Outdoor,False,Sprint
220 y (straight),19.50,Tommie Smith,USA,1966-05-07,Video on YouTube,"San Jose, California",USA,Male,Outdoor,False,Sprint
220 y (straight),19.54,Tyson Gay,USA,2010-05-16,Manchester City Games,Manchester,GBR,Male,Outdoor,False,Sprint
300 m,30.69,Letsile Tebogo,BOT,2024-02-17,Simbine Curro Classic Shoot-Out,Pretoria,RSA,Male,Outdoor,False,Sprint
440 y,44.50,John Smith,USA,1971-06-26,Great North City Games,Eugene,USA,Male,Outdoor,False,Sprint
500 m,57.69,David Rudisha,KEN,2016-09-10,Great North CityGames,Newcastle,GBR,Male,Outdoor,False,Sprint
600 m,1:12.81,Johnny Gray,USA,1986-05-24,,Santa Monica,USA,Male,Outdoor,False,Sprint
1600 m,3:41.83,Hicham El Guerrouj,MAR,1999-07-07,Golden Gala,Rome,ITA,Male,Outdoor,False,Middle Distance
3200 m,7:51.35,Jakob Ingebrigtsen,NOR,2023-06-09,Meeting de Paris,Paris,FRA,Male,Outdoor,False,Long Distance
Two miles,7:54.10,Jakob Ingebrigtsen,NOR,2023-06-09,Meeting de Paris,Paris,FRA,Male,Outdoor,False,Long Distance
8 km (road),21:11.00,Rhonex Kipruto,KEN,2020-01-12,10K Valencia Ibercaja,Valencia,ESP,Male,Outdoor,False,Long Distance
